"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"2/26/2026","2/26/2026","2/27/2026","AVGO","AVGO 3/6/2026 Put $300.00","STO","1","$11.70","$1,169.95"
"2/26/2026","2/26/2026","2/27/2026","PLTR","PLTR 3/6/2026 Call $143.00","STO","2","$1.60","$319.91"
"2/26/2026","2/26/2026","2/27/2026","PLTR","PLTR 2/27/2026 Call $143.00","BTC","2","$0.13","($26.08)"
"2/25/2026","2/25/2026","2/26/2026","CRWV","CRWV 2/27/2026 Put $75.00","BTC","2","$1.05","($210.08)"
"2/25/2026","2/25/2026","2/26/2026","CRWV","CRWV 2/27/2026 Put $75.00","BTC","1","$1.05","($105.04)"
"2/25/2026","2/25/2026","2/26/2026","NVDA","NVDA 2/27/2026 Put $190.00","BTC","1","$3.04","($304.04)"
"2/24/2026","2/24/2026","2/25/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.689929","$434.83","($300.00)"
"2/24/2026","2/24/2026","2/25/2026","","ACH Deposit","ACH","","","$300.00"
"2/20/2026","2/20/2026","2/23/2026","CRWV","CRWV 2/27/2026 Put $75.00","STO","3","$3.27","$980.87"
"2/20/2026","2/20/2026","2/23/2026","TNA","TNA 2/20/2026 Put $51.00","BTC","4","$0.05","($20.16)"
"2/18/2026","2/18/2026","2/19/2026","PLTR","PLTR 2/27/2026 Call $143.00","STO","2","$3.00","$599.91"
"2/17/2026","2/17/2026","2/18/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.695797","$431.16","($300.00)"
"2/17/2026","2/17/2026","2/18/2026","NVDA","NVDA 2/27/2026 Put $190.00","STO","1","$9.27","$926.95"
"2/17/2026","2/17/2026","2/18/2026","","ACH Deposit","ACH","","","$300.00"
"2/12/2026","2/12/2026","2/13/2026","TNA","TNA 2/20/2026 Put $51.00","STO","1","$0.84","$83.95"
"2/12/2026","2/12/2026","2/13/2026","TNA","TNA 2/20/2026 Put $51.00","STO","1","$0.84","$83.95"
"2/12/2026","2/12/2026","2/13/2026","TNA","TNA 2/20/2026 Put $51.00","STO","2","$0.84","$167.91"
"2/12/2026","2/12/2026","2/13/2026","PLTR","PLTR 2/13/2026 Call $142.00","BTC","2","$0.12","($24.08)"
"2/12/2026","2/12/2026","2/13/2026","SHOP","SHOP 2/13/2026 Call $125.00","BTC","2","$0.08","($16.08)"
"2/12/2026","2/12/2026","2/13/2026","NET","NET 2/13/2026 Put $155.00","BTC","1","$0.13","($13.04)"
"2/12/2026","2/12/2026","2/13/2026","TSLL","TSLL 2/13/2026 Put $16.00","BTC","4","$0.11","($44.16)"
"2/12/2026","2/12/2026","2/13/2026","TSLL","TSLL 2/13/2026 Put $16.00","BTC","5","$0.11","($55.20)"
"2/12/2026","2/12/2026","2/13/2026","TSLL","TSLL 2/13/2026 Put $16.00","BTC","6","$0.11","($66.24)"
"2/11/2026","2/11/2026","2/12/2026","HOOD","HOOD 3/6/2026 Put $75.00","STO","3","$4.89","$1,466.87"
"2/11/2026","2/11/2026","2/12/2026","HOOD","HOOD 2/13/2026 Put $80.00","BTC","3","$4.99","($1,497.12)"
"2/10/2026","2/10/2026","2/11/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.680857","$440.62","($300.00)"
"2/10/2026","2/10/2026","2/11/2026","HOOD","HOOD 2/13/2026 Put $80.00","STO","3","$1.99","$596.87"
"2/10/2026","2/10/2026","2/11/2026","","ACH Deposit","ACH","","","$300.00"
"2/6/2026","2/6/2026","2/9/2026","SHOP","SHOP 2/13/2026 Call $125.00","STO","2","$2.15","$429.91"
"2/6/2026","2/6/2026","2/9/2026","TSLL","TSLL 2/6/2026 Put $16.00","BTC","8","$0.34","($272.32)"
"2/6/2026","2/6/2026","2/9/2026","TSLL","TSLL 2/13/2026 Put $16.00","STO","8","$0.86","$687.65"
"2/6/2026","2/6/2026","2/9/2026","TSLL","TSLL 2/6/2026 Put $16.00","BTC","7","$0.34","($238.28)"
"2/6/2026","2/6/2026","2/9/2026","TSLL","TSLL 2/13/2026 Put $16.00","STO","7","$0.86","$601.70"
"2/6/2026","2/6/2026","2/9/2026","NET","NET 2/13/2026 Put $155.00","STO","1","$5.94","$593.95"
"2/6/2026","2/6/2026","2/9/2026","BRKB","BRKB 4/17/2026 Call $520.00","STO","1","$9.36","$935.95"
"2/6/2026","2/6/2026","2/9/2026","TNA","TNA 2/6/2026 Put $53.00","BTC","6","$0.06","($36.24)"
"2/6/2026","2/6/2026","2/9/2026","PLTR","PLTR 2/13/2026 Call $142.00","STO","1","$2.19","$218.95"
"2/6/2026","2/6/2026","2/9/2026","PLTR","PLTR 2/13/2026 Call $142.00","STO","1","$2.19","$218.95"
"2/5/2026","2/5/2026","2/6/2026","PLTR","PLTR 2/6/2026 Put $150.00","OASGN","2","",""
"2/5/2026","2/5/2026","2/6/2026","PLTR","Palantir Technologies
CUSIP: 69608A108
2 PLTR Options Assigned","Buy","200","$150.00","($30,000.00)"
"2/3/2026","2/3/2026","2/4/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.685056","$437.92","($300.00)"
"2/3/2026","2/3/2026","2/4/2026","","ACH Deposit","ACH","","","$300.00"
"1/30/2026","1/30/2026","2/2/2026","SOFI","Option Expiration for SOFI 1/30/2026 Call $29.00","OEXP","10","",""
"1/30/2026","1/30/2026","1/30/2026","","Interest Payment","INT","","","$5.87"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 1/30/2026 Put $53.00","BTC","1","$1.20","($120.04)"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 2/6/2026 Put $53.00","STO","1","$2.53","$252.95"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 1/30/2026 Put $53.00","BTC","2","$1.20","($240.08)"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 2/6/2026 Put $53.00","STO","2","$2.53","$505.91"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 1/30/2026 Put $53.00","BTC","1","$1.20","($120.04)"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 2/6/2026 Put $53.00","STO","1","$2.53","$252.95"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 1/30/2026 Put $53.00","BTC","1","$1.20","($120.04)"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 2/6/2026 Put $53.00","STO","1","$2.53","$252.95"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 1/30/2026 Put $53.00","BTC","1","$1.20","($120.04)"
"1/30/2026","1/30/2026","2/2/2026","TNA","TNA 2/6/2026 Put $53.00","STO","1","$2.53","$252.95"
"1/29/2026","1/29/2026","1/30/2026","PLTR","PLTR 1/30/2026 Put $155.00","BTC","1","$4.98","($498.04)"
"1/29/2026","1/29/2026","1/30/2026","PLTR","PLTR 2/6/2026 Put $150.00","STO","1","$7.63","$762.95"
"1/29/2026","1/29/2026","1/30/2026","PLTR","PLTR 1/30/2026 Put $155.00","BTC","1","$4.98","($498.04)"
"1/29/2026","1/29/2026","1/30/2026","PLTR","PLTR 2/6/2026 Put $150.00","STO","1","$7.63","$762.95"
"1/28/2026","1/28/2026","1/29/2026","TSLL","TSLL 2/6/2026 Put $16.00","STO","15","$0.61","$914.35"
"1/28/2026","1/28/2026","1/29/2026","INTC","INTC 1/30/2026 Put $42.50","BTC","4","$0.04","($16.16)"
"1/28/2026","1/28/2026","1/29/2026","INTC","INTC 1/30/2026 Put $42.50","BTC","3","$0.04","($12.12)"
"1/28/2026","1/28/2026","1/28/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"1/27/2026","1/27/2026","1/28/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.661806","$453.30","($300.00)"
"1/27/2026","1/27/2026","1/28/2026","","ACH Deposit","ACH","","","$300.00"
"1/26/2026","1/26/2026","1/26/2026","","Interest Payment","INT","","","$68.35"
"1/23/2026","1/23/2026","1/26/2026","INTC","INTC 1/30/2026 Put $42.50","STO","7","$0.48","$335.70"
"1/23/2026","1/23/2026","1/26/2026","TNA","TNA 1/30/2026 Put $53.00","STO","6","$0.71","$425.74"
"1/23/2026","1/23/2026","1/26/2026","NFLX","NFLX 1/23/2026 Put $85.00","BTC","5","$0.04","($20.20)"
"1/22/2026","1/22/2026","1/23/2026","SOFI","SOFI 1/30/2026 Call $29.00","STO","2","$0.30","$59.91"
"1/22/2026","1/22/2026","1/23/2026","SOFI","SOFI 1/30/2026 Call $29.00","STO","8","$0.30","$239.65"
"1/22/2026","1/22/2026","1/23/2026","ANET","Arista
CUSIP: 040413205","Sell","100","$139.86","$13,986.02"
"1/21/2026","1/21/2026","1/22/2026","SHOP","SHOP 1/23/2026 Put $160.00","OASGN","2","",""
"1/21/2026","1/21/2026","1/22/2026","SHOP","Shopify
CUSIP: 82509L107
2 SHOP Options Assigned","Buy","200","$160.00","($32,000.00)"
"1/21/2026","1/21/2026","1/22/2026","PLTR","PLTR 1/30/2026 Put $155.00","STO","2","$3.05","$609.91"
"1/20/2026","1/20/2026","1/21/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.686671","$436.89","($300.00)"
"1/20/2026","1/20/2026","1/21/2026","","ACH Deposit","ACH","","","$300.00"
"1/16/2026","1/16/2026","1/20/2026","SOFI","Option Expiration for SOFI 1/16/2026 Call $29.00","OEXP","10","",""
"1/16/2026","1/16/2026","1/20/2026","NFLX","NFLX 1/23/2026 Put $85.00","STO","5","$1.92","$959.78"
"1/16/2026","1/16/2026","1/20/2026","NVDA","NVDA 1/16/2026 Put $180.00","BTC","2","$0.03","($6.08)"
"1/16/2026","1/16/2026","1/20/2026","DAL","DAL 1/16/2026 Put $67.00","BTC","2","$0.01","($2.08)"
"1/16/2026","1/16/2026","1/20/2026","DAL","DAL 1/16/2026 Put $67.00","BTC","2","$0.01","($2.08)"
"1/16/2026","1/16/2026","1/20/2026","DAL","DAL 1/16/2026 Put $67.00","BTC","2","$0.01","($2.08)"
"1/16/2026","1/16/2026","1/20/2026","SHOP","SHOP 1/16/2026 Put $160.00","BTC","2","$2.43","($486.08)"
"1/16/2026","1/16/2026","1/20/2026","SHOP","SHOP 1/23/2026 Put $160.00","STO","2","$4.75","$949.91"
"1/13/2026","1/13/2026","1/14/2026","BRKB","BRKB 1/16/2026 Call $500.00","BTC","1","$1.49","($149.04)"
"1/13/2026","1/13/2026","1/14/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.667415","$449.50","($300.00)"
"1/13/2026","1/13/2026","1/14/2026","","ACH Deposit","ACH","","","$300.00"
"1/12/2026","1/12/2026","1/13/2026","DAL","DAL 1/16/2026 Put $67.00","STO","6","$0.91","$545.74"
"1/12/2026","1/12/2026","1/13/2026","TSLL","TSLL 1/16/2026 Put $16.00","BTC","10","$0.04","($40.40)"
"1/12/2026","1/12/2026","1/13/2026","TSLL","TSLL 1/16/2026 Put $16.00","BTC","10","$0.04","($40.40)"
"1/9/2026","1/9/2026","1/12/2026","ANET","Option Expiration for ANET 1/9/2026 Call $145.00","OEXP","1","",""
"1/9/2026","1/9/2026","1/12/2026","SHOP","SHOP 1/16/2026 Put $160.00","STO","2","$1.93","$385.91"
"1/9/2026","1/9/2026","1/12/2026","NVDA","NVDA 1/16/2026 Put $180.00","STO","2","$1.61","$321.91"
"1/9/2026","1/9/2026","1/12/2026","SOFI","SOFI 1/16/2026 Call $29.00","STO","10","$0.42","$419.57"
"1/9/2026","1/9/2026","1/12/2026","SOFI","SOFI 1/9/2026 Call $29.00","BTC","4","$0.02","($8.16)"
"1/9/2026","1/9/2026","1/12/2026","SOFI","SOFI 1/9/2026 Call $29.00","BTC","6","$0.02","($12.24)"
"1/9/2026","1/9/2026","1/12/2026","TSLL","TSLL 1/9/2026 Put $18.00","BTC","20","$0.03","($60.80)"
"1/7/2026","1/7/2026","1/7/2026","TSLL","Stock Lending","SLIP","","","$0.01"
"1/6/2026","1/6/2026","1/7/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.66836","$448.86","($300.00)"
"1/6/2026","1/6/2026","1/7/2026","TSLL","TSLL 1/16/2026 Put $16.00","STO","8","$0.42","$335.65"
"1/6/2026","1/6/2026","1/7/2026","TSLL","TSLL 1/16/2026 Put $16.00","STO","8","$0.42","$335.65"
"1/6/2026","1/6/2026","1/7/2026","TSLL","TSLL 1/16/2026 Put $16.00","STO","4","$0.40","$159.83"
"1/6/2026","1/6/2026","1/7/2026","","ACH Deposit","ACH","","","$300.00"
"1/5/2026","1/5/2026","1/6/2026","ANET","ANET 1/9/2026 Call $145.00","STO","1","$0.97","$96.95"
"1/5/2026","1/5/2026","1/6/2026","SOFI","SOFI 1/9/2026 Call $29.00","STO","10","$0.22","$219.57"
"1/5/2026","1/5/2026","1/6/2026","TSLL","TSLL 1/9/2026 Put $18.00","STO","20","$0.28","$559.13"
"1/2/2026","1/2/2026","1/5/2026","INTC","Option Expiration for INTC 1/2/2026 Put $35.00","OEXP","10","",""
"1/2/2026","1/2/2026","1/5/2026","SOFI","Option Expiration for SOFI 1/2/2026 Call $28.50","OEXP","10","",""
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
